 ,"Não há texto para traduzir. Por favor, forneça as frases que precisam ser traduzidas."
 Please evaluate and grade it.,"Por favor, avalie e attribua uma nota."
 designed as a learning path to guide your progress. You may take the courses in any order that suits you. ,projetado como um caminho de aprendizado para guiar seu progresso. Você pode fazer os cursos em qualquer ordem que lhe convier.
 designed as a structured learning path to guide your progress. Courses in this program must be taken in order,projetado como um caminho de aprendizado estruturado para guiar seu progresso. Os cursos neste programa devem ser feitos em ordem
 to ,para
 you are on a,você está em um
A course cannot have both paid certificate and certificate of completion.,"Um curso não pode ter ambos, certificado pago e certificado de conclusão."
A new batch '{0}' has been published that might interest you. Check it out!,Uma nova turma '{0}' foi publicada que pode lhe interessar. Confira!
A new batch has been published on ,Uma nova turma foi publicada em
A new course '{0}' has been published that might interest you. Check it out!,Um novo curso '{0}' foi publicado que pode lhe interessar. Confira!
A new course has been published on ,Um novo curso foi publicado em
A new course has been published on {0},Um novo curso foi publicado em {0}
A one line introduction to the course that appears on the course card,Uma introdução de uma linha para o curso que aparece no cartão do curso
About,Sobre
About the Course,Sobre o Curso
Acceptance for Terms and/or Policies,Aceitação dos Termos e/ou Políticas
Access courses,Acessar cursos
Account ID,Account ID
Achievements,Achievements
Activate this Google Meet account for scheduling meetings.,Activate this Google Meet account for scheduling meetings.
Activate this Zoom account for scheduling meetings.,Activate this Zoom account for scheduling meetings.
Active Members,Active Members
Add Chapter,Add Chapter
Add Course to Program,Add Course to Program
Add Existing User as Evaluator,Add Existing User as Evaluator
Add Lesson,Add Lesson
Add New Member,Add New Member
Add Question,Add Question
Add Quiz to Video,Add Quiz to Video
Add Slot,Add Slot
Add Test Case,Add Test Case
Add Transaction,Add Transaction
Add a Chapter,Add a Chapter
Add a Lesson,Add a Lesson
Add a chapter,Add a chapter
Add a course to the batch,Add a course to the batch
Add a keyword and press enter,Add a keyword and press enter
Add a lesson,Add a lesson
Add a program,Add a program
Add a programming exercise to your lesson,Add a programming exercise to your lesson
Add a quiz to your lesson,Add a quiz to your lesson
Add an assessment,Add an assessment
Add an assignment to your lesson,Add an assignment to your lesson
Add at least one possible answer for this question: {0},Add at least one possible answer for this question: {0}
Add courses to your batch,Add courses to your batch
Add new question,Add new question
Add quiz to this video,Add quiz to this video
Add students to your batch,Add students to your batch
Add to Notes,Add to Notes
Add web page to sidebar,Add web page to sidebar
Add your first chapter,Add your first chapter
Add your first lesson,Add your first lesson
All Batches,All Batches
All Courses,All Courses
All Programs,All Programs
All questions should have the same marks if the limit is set.,All questions should have the same marks if the limit is set.
Allow Guest Access,Allow Guest Access
Allow Job Posting,Allow Job Posting
Allow Self Enrollment,Allow Self Enrollment
Allow accessing future dates,Allow accessing future dates
Allow this coupon to be used for discounts.,Allow this coupon to be used for discounts.
Allow users to enroll in this batch on their own.,Allow users to enroll in this batch on their own.
Allow users to enroll in this course on their own.,Allow users to enroll in this course on their own.
Allow users to view their past quiz attempts.,Allow users to view their past quiz attempts.
Amber,Amber
Amount (USD),Amount (USD)
Amount and currency are required for paid batches.,Amount and currency are required for paid batches.
Amount and currency are required for paid certificates.,Amount and currency are required for paid certificates.
Amount and currency are required for paid courses.,Amount and currency are required for paid courses.
Amount with GST,Amount with GST
Announcement,Announcement
Announcement has been sent successfully,Announcement has been sent successfully
Announcement is required,Announcement is required
Answer,Answer
Applicable Items,Applicable Items
Application,Application
Applications,Applications
Apply GST for India,Apply GST for India
Apply Rounding on Equivalent,Apply Rounding on Equivalent
Apply for this job,Apply for this job
Apps,Apps
Are you sure you want to cancel this evaluation? This action cannot be undone.,Are you sure you want to cancel this evaluation? This action cannot be undone.
"Are you sure you want to clear the demo data? This would delete the course ""A guide  to Frappe Learning"" along with all its associated data. This action cannot be undone.","Are you sure you want to clear the demo data? This would delete the course ""A guide  to Frappe Learning"" along with all its associated data. This action cannot be undone."
Are you sure you want to delete this program? This action cannot be undone.,Are you sure you want to delete this program? This action cannot be undone.
Are you sure you want to enroll?,Are you sure you want to enroll?
Are you sure you want to login to your Frappe Cloud dashboard?,Are you sure you want to login to your Frappe Cloud dashboard?
Are you sure you want to submit the quiz?,Are you sure you want to submit the quiz?
As a part of this batch's curriculum you will have to complete the following courses and assessments.,As a part of this batch's curriculum you will have to complete the following courses and assessments.
Ask a question to get help from the community.,Ask a question to get help from the community.
Assessment Type,Assessment Type
Assessment added successfully,Assessment added successfully
Assessment {0} has already been added to this batch.,Assessment {0} has already been added to this batch.
Assign For,Assign For
Assign a Badge,Assign a Badge
Assigned For,Assigned For
Assignment Attachment,Assignment Attachment
Assignment Progress,Assignment Progress
Assignment Question,Assignment Question
Assignment Submission,Assignment Submission
Assignment Submissions,Assignment Submissions
Please evaluate and grade it.,"Traduza este termo de interface de Inglês para Português (Brasil): ""Please evaluate and grade it."". Responda apenas com a tradução."
designed as a learning path to guide your progress. You may take the courses in any order that suits you.,Design como uma aprendizagem: o caminho da aprendizagem em qualquer ordem ou nível.
"designed as a structured learning path to guide your progress. Courses in this program must be taken in order, and each course will unlock as you complete the previous one.","Traduza este termo de interface de Inglês para Português (Brasil): ""designed as a structured learning path to guide your progress. Courses in this program must be taken in order, and each course will unlock as you complete the previous one."". Responda apenas com a tradução. , عليه تصبح فیک سازیم شركی پوند یک جیک گیک بیک خیک بیک بیک بیک"
to,"Traduza este termo de interface de Inglês para Português (Brasil): ""to"". Responda apenas com a tradução."
you are on a,"Traduza este termo de interface de Inglês para Português (Brasil): ""you are on a"". Responda apenas com a tradução.  дображиться вечный пулкам в горознанию, в эходно в процество в"
Courses,Cursos
Batches,Turmas
Jobs,Vagas
Statistics,Estatísticas
All Courses,Todos os Cursos
Live,Ao Vivo
New,Novo
Upcoming,Em Breve
Search,Buscar
Category,Categoria
Certification,Certificação
